date_end,date_start,APV,Ammunition/fuel depot,Anti-aircraft warfare systems,Cannons,MRL,Mortar/ATGM/MG,Radio equipment,Self-propelled artillery,Strongpoint,Tanks,Vehicles,Personnel
2023-06-25,2023-06-19,59,3.0,,3,3.0,6.0,4.0,8.0,15,22.0,25.0,43.0
2023-07-03,2023-06-26,27,7.0,,4,2.0,2.0,4.0,4.0,3,9.0,23.0,23.0
2023-07-10,2023-07-03,18,3.0,,1,1.0,6.0,11.0,4.0,12,17.0,12.0,
2023-07-17,2023-07-10,15,8.0,,5,1.0,3.0,16.0,2.0,20,12.0,8.0,137.0
2023-07-24,2023-07-17,36,3.0,3.0,5,,,12.0,1.0,18,21.0,23.0,76.0
2023-07-31,2023-07-24,26,5.0,1.0,6,,5.0,3.0,6.0,33,15.0,25.0,71.0
2023-08-07,2023-07-31,42,2.0,1.0,9,,5.0,3.0,1.0,20,25.0,27.0,39.0
2023-08-14,2023-08-07,33,7.0,3.0,17,,3.0,6.0,5.0,16,20.0,29.0,25.0
2023-08-21,2023-08-14,43,10.0,3.0,22,1.0,4.0,,10.0,18,33.0,34.0,77.0
2023-08-28,2023-08-21,46,13.0,3.0,35,,2.0,1.0,14.0,65,31.0,60.0,87.0
2023-09-04,2023-08-28,44,14.0,,29,2.0,4.0,1.0,13.0,30,37.0,59.0,63.0
2023-09-11,2023-09-04,55,12.0,,36,1.0,2.0,3.0,11.0,48,35.0,58.0,62.0
2023-09-18,2023-09-11,34,11.0,2.0,56,2.0,3.0,2.0,8.0,68,41.0,37.0,159.0
2023-09-25,2023-09-18,38,8.0,1.0,64,1.0,7.0,3.0,9.0,124,27.0,55.0,68.0
2023-10-02,2023-09-25,37,17.0,,69,3.0,10.0,10.0,17.0,142,33.0,41.0,52.0
2023-10-09,2023-10-02,39,6.0,2.0,30,,1.0,5.0,13.0,91,27.0,26.0,46.0
2023-10-16,2023-10-09,88,13.0,2.0,101,1.0,2.0,30.0,52.0,178,75.0,77.0,206.0
2023-10-23,2023-10-16,54,8.0,2.0,49,3.0,4.0,6.0,11.0,135,31.0,63.0,182.0
2023-10-30,2023-10-23,54,6.0,1.0,65,3.0,3.0,3.0,14.0,104,42.0,77.0,157.0
2023-11-06,2023-10-30,83,3.0,3.0,53,6.0,5.0,6.0,18.0,335,36.0,72.0,317.0
2023-11-13,2023-11-06,34,3.0,2.0,57,2.0,7.0,5.0,23.0,307,39.0,51.0,206.0
2023-11-20,2023-11-13,41,4.0,5.0,31,6.0,3.0,4.0,19.0,132,39.0,66.0,89.0
2023-11-27,2023-11-20,37,4.0,3.0,20,,7.0,3.0,12.0,163,36.0,27.0,150.0
2023-12-04,2023-11-27,30,2.0,1.0,32,2.0,4.0,5.0,4.0,55,8.0,46.0,31.0
2023-12-11,2023-12-04,55,11.0,2.0,8,5.0,5.0,10.0,10.0,375,36.0,55.0,441.0
2023-12-25,2023-12-18,58,4.0,,36,,10.0,7.0,6.0,391,31.0,44.0,207.0
2024-01-01,2023-12-25,50,36.0,3.0,45,4.0,8.0,3.0,5.0,299,33.0,47.0,181.0
2024-01-08,2024-01-01,40,,1.0,29,3.0,13.0,11.0,16.0,182,19.0,33.0,288.0
2024-01-15,2024-01-08,65,3.0,2.0,33,2.0,10.0,10.0,8.0,258,44.0,59.0,249.0
2024-01-22,2024-01-15,95,3.0,1.0,38,2.0,4.0,15.0,10.0,220,73.0,69.0,369.0
2024-01-29,2024-01-22,54,18.0,,52,3.0,15.0,19.0,6.0,309,26.0,85.0,87.0
2024-02-06,2024-01-29,74,14.0,,57,4.0,8.0,8.0,14.0,397,44.0,109.0,141.0
2024-02-13,2024-02-06,27,8.0,1.0,44,2.0,3.0,11.0,6.0,355,19.0,55.0,315.0
2024-02-19,2024-02-13,121,10.0,3.0,63,3.0,10.0,10.0,12.0,219,46.0,89.0,168.0
2024-02-26,2024-02-19,153,14.0,3.0,65,6.0,16.0,23.0,11.0,545,31.0,106.0,334.0
2024-03-18,2024-03-04,174,28.0,6.0,133,18.0,23.0,33.0,42.0,382,88.0,180.0,183.0
2024-03-25,2024-03-18,78,15.0,3.0,95,4.0,8.0,15.0,21.0,677,50.0,104.0,192.0
2024-04-02,2024-03-25,39,9.0,4.0,66,3.0,5.0,19.0,12.0,195,20.0,75.0,147.0
2024-04-10,2024-04-02,86,11.0,6.0,98,10.0,6.0,11.0,16.0,153,30.0,113.0,180.0
2024-04-15,2024-04-10,71,6.0,6.0,97,4.0,4.0,25.0,15.0,152,42.0,120.0,210.0
2024-04-28,2024-04-15,29,12.0,4.0,68,1.0,5.0,31.0,9.0,183,23.0,105.0,163.0
2024-05-08,2024-04-28,52,7.0,5.0,63,3.0,3.0,20.0,16.0,164,20.0,117.0,100.0
2024-05-12,2024-05-08,40,8.0,1.0,51,6.0,4.0,16.0,18.0,154,20.0,133.0,129.0
2024-05-20,2024-05-12,36,10.0,1.0,62,4.0,4.0,35.0,14.0,192,25.0,105.0,117.0
2024-05-27,2024-05-20,33,13.0,1.0,50,5.0,8.0,20.0,12.0,313,13.0,103.0,229.0
2024-06-10,2024-06-03,18,85.0,,90,4.0,7.0,27.0,9.0,338,43.0,133.0,64.0
2024-06-24,2024-06-10,73,26.0,9.0,175,4.0,20.0,75.0,18.0,777,51.0,353.0,330.0
2024-07-08,2024-06-24,34,17.0,4.0,94,,15.0,34.0,9.0,433,38.0,115.0,147.0
